wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,4,1,256,0,0,256,0,1.90,526.51,2105
0,4,1,256,0,0,256,64,1.89,527.92,2111
0,4,1,256,0,0,256,128,1.89,528.17,2112
0,4,1,256,0,0,256,256,1.89,528.16,2112
0,4,4,1,0,0,0,64,0.10,40.70,41681
0,4,4,1,0,0,0,128,0.09,44.37,45437
0,4,4,1,0,0,0,256,0.08,47.48,48614
0,4,4,1,0,0,64,0,0.03,136.66,139936
0,4,4,1,0,0,64,64,0.10,40.69,41670
0,4,4,1,0,0,64,128,0.09,44.36,45424
0,4,4,1,0,0,64,256,0.08,47.49,48634
0,4,4,1,0,0,128,0,0.03,135.96,139226
0,4,4,1,0,0,128,64,0.10,40.71,41690
0,4,4,1,0,0,128,128,0.09,44.35,45418
0,4,4,1,0,0,128,256,0.08,47.50,48635
0,4,4,1,0,0,256,0,0.03,111.92,114606
0,4,4,1,0,0,256,64,0.10,40.72,41697
0,4,4,1,0,0,256,128,0.09,44.39,45459
0,4,4,1,0,0,256,256,0.08,47.50,48641
0,4,4,4,0,0,0,64,0.09,179.88,46050
0,4,4,4,0,0,0,128,0.09,179.31,45901
0,4,4,4,0,0,0,256,0.09,178.04,45578
0,4,4,4,0,0,64,0,0.04,383.68,98222
0,4,4,4,0,0,64,64,0.09,179.95,46065
0,4,4,4,0,0,64,128,0.09,179.26,45890
0,4,4,4,0,0,64,256,0.09,178.24,45628
0,4,4,4,0,0,128,0,0.04,383.73,98233
0,4,4,4,0,0,128,64,0.09,179.70,46002
0,4,4,4,0,0,128,128,0.09,179.06,45838
0,4,4,4,0,0,128,256,0.09,178.16,45608
0,4,4,4,0,0,256,0,0.04,383.70,98226
0,4,4,4,0,0,256,64,0.09,179.76,46018
0,4,4,4,0,0,256,128,0.09,179.02,45829
0,4,4,4,0,0,256,256,0.09,178.27,45636
0,4,4,16,0,0,0,64,0.17,371.12,23751
0,4,4,16,0,0,0,128,0.17,369.24,23631
0,4,4,16,0,0,0,256,0.17,363.01,23232
0,4,4,16,0,0,64,0,0.13,488.89,31288
0,4,4,16,0,0,64,64,0.17,371.03,23745
0,4,4,16,0,0,64,128,0.17,369.36,23639
0,4,4,16,0,0,64,256,0.17,363.30,23250
0,4,4,16,0,0,128,0,0.13,489.04,31298
0,4,4,16,0,0,128,64,0.17,371.07,23748
0,4,4,16,0,0,128,128,0.17,369.22,23629
0,4,4,16,0,0,128,256,0.17,363.39,23256
0,4,4,16,0,0,256,0,0.13,489.01,31296
0,4,4,16,0,0,256,64,0.17,370.95,23740
0,4,4,16,0,0,256,128,0.17,369.24,23631
0,4,4,16,0,0,256,256,0.17,363.68,23275
0,4,4,64,0,0,0,64,0.48,519.97,8319
0,4,4,64,0,0,0,128,0.48,519.72,8315
0,4,4,64,0,0,0,256,0.48,519.57,8312
0,4,4,64,0,0,64,0,0.48,519.68,8314
0,4,4,64,0,0,64,64,0.48,519.96,8319
0,4,4,64,0,0,64,128,0.48,519.76,8315
0,4,4,64,0,0,64,256,0.48,519.96,8319
0,4,4,64,0,0,128,0,0.48,519.60,8313
0,4,4,64,0,0,128,64,0.48,519.62,8313
0,4,4,64,0,0,128,128,0.48,519.90,8318
0,4,4,64,0,0,128,256,0.48,519.81,8316
0,4,4,64,0,0,256,0,0.48,519.79,8316
0,4,4,64,0,0,256,64,0.48,519.73,8315
