wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
100,1,16,1,0,0,0,0,0.04,340.15,21769
100,1,16,4,0,0,0,0,0.04,340.39,21785
100,1,16,16,0,0,0,0,0.04,339.85,21750
100,1,16,64,0,0,0,0,0.04,339.32,21716
100,1,16,256,0,0,0,0,0.04,338.85,21686
100,1,64,1,0,0,0,0,0.15,422.56,6761
100,1,64,4,0,0,0,0,0.15,419.01,6704
100,1,64,16,0,0,0,0,0.15,420.63,6730
100,1,64,64,0,0,0,0,0.15,420.09,6721
100,1,64,256,0,0,0,0,0.15,419.62,6714
100,1,256,1,0,0,0,0,0.55,455.21,1821
100,1,256,4,0,0,0,0,0.55,455.26,1821
100,1,256,16,0,0,0,0,0.55,454.96,1820
100,1,256,64,0,0,0,0,0.55,454.97,1820
100,1,256,256,0,0,0,0,0.55,455.06,1820
100,4,1,1,0,0,0,0,0.05,77.44,79296
100,4,1,4,0,0,0,0,0.04,88.18,90294
100,4,1,16,0,0,0,0,0.05,76.40,78232
100,4,1,64,0,0,0,0,0.05,73.00,74749
100,4,1,256,0,0,0,0,0.05,75.51,77322
100,4,4,1,0,0,0,0,0.05,333.31,85326
100,4,4,4,0,0,0,0,0.05,333.00,85246
100,4,4,16,0,0,0,0,0.05,333.03,85254
100,4,4,64,0,0,0,0,0.05,333.13,85280
100,4,4,256,0,0,0,0,0.05,333.33,85333
100,4,16,1,0,0,0,0,0.14,462.07,29572
100,4,16,4,0,0,0,0,0.14,461.05,29506
100,4,16,16,0,0,0,0,0.14,461.18,29514
100,4,16,64,0,0,0,0,0.14,460.84,29493
100,4,16,256,0,0,0,0,0.14,461.58,29540
100,4,64,1,0,0,0,0,0.52,484.89,7757
100,4,64,4,0,0,0,0,0.52,484.36,7749
100,4,64,16,0,0,0,0,0.52,483.25,7731
100,4,64,64,0,0,0,0,0.52,483.23,7731
100,4,64,256,0,0,0,0,0.52,484.28,7748
100,4,256,1,0,0,0,0,2.05,488.65,1954
100,4,256,4,0,0,0,0,2.04,489.01,1955
100,4,256,16,0,0,0,0,2.04,488.95,1955
100,4,256,64,0,0,0,0,2.04,489.00,1955
100,4,256,256,0,0,0,0,2.05,488.70,1954
100,16,1,1,0,0,0,0,0.10,148.75,152312
100,16,1,4,0,0,0,0,0.10,148.74,152310
100,16,1,16,0,0,0,0,0.10,148.74,152310
100,16,1,64,0,0,0,0,0.10,150.04,153637
100,16,1,256,0,0,0,0,0.11,149.49,153077
100,16,4,1,0,0,0,0,0.19,333.91,85478
100,16,4,4,0,0,0,0,0.19,333.91,85477
100,16,4,16,0,0,0,0,0.19,333.91,85478
100,16,4,64,0,0,0,0,0.19,333.91,85477
100,16,4,256,0,0,0,0,0.19,335.35,85846
100,16,16,1,0,0,0,0,0.54,460.10,29443
100,16,16,4,0,0,0,0,0.54,460.06,29441
100,16,16,16,0,0,0,0,0.54,460.18,29448
100,16,16,64,0,0,0,0,0.54,460.12,29444
100,16,16,256,0,0,0,0,0.54,460.15,29446
100,16,64,1,0,0,0,0,2.06,484.30,7746
100,16,64,4,0,0,0,0,2.06,484.74,7753
100,16,64,16,0,0,0,0,2.07,483.54,7733
100,16,64,64,0,0,0,0,2.07,483.60,7734
100,16,64,256,0,0,0,0,2.07,484.02,7741
100,16,256,1,0,0,0,0,8.17,490.31,1958
100,16,256,4,0,0,0,0,8.16,490.77,1960
100,16,256,16,0,0,0,0,8.17,490.27,1958
100,16,256,64,0,0,0,0,8.15,491.36,1962
100,16,256,256,0,0,0,0,8.17,490.61,1959
100,64,1,1,0,0,0,0,0.38,158.88,162680
100,64,1,4,0,0,0,0,0.47,147.36,150882
100,64,1,16,0,0,0,0,0.45,132.45,135612
100,64,1,64,0,0,0,0,0.43,150.03,153618
100,64,1,256,0,0,0,0,0.41,161.06,164914
100,64,4,1,0,0,0,0,0.63,401.82,102854
100,64,4,4,0,0,0,0,0.62,402.90,103129
100,64,4,16,0,0,0,0,0.64,387.81,99268
100,64,4,64,0,0,0,0,0.62,401.72,102829
100,64,4,256,0,0,0,0,0.64,387.20,99110
100,64,16,1,0,0,0,0,2.06,487.24,31170
100,64,16,4,0,0,0,0,2.06,486.75,31139
100,64,16,16,0,0,0,0,2.06,486.82,31144
100,64,16,64,0,0,0,0,2.05,486.99,31154
100,64,16,256,0,0,0,0,2.11,476.43,30479
100,64,64,1,0,0,0,0,8.19,488.97,7811
100,64,64,4,0,0,0,0,8.17,490.10,7829
100,64,64,16,0,0,0,0,8.18,489.61,7821
100,64,64,64,0,0,0,0,8.20,488.43,7802
100,64,64,256,0,0,0,0,8.18,489.92,7826
100,64,256,1,0,0,0,0,32.33,502.72,1998
100,64,256,4,0,0,0,0,32.54,494.77,1966
100,64,256,16,0,0,0,0,32.35,501.72,1994
100,64,256,64,0,0,0,0,31.90,504.96,2007
100,64,256,256,0,0,0,0,24.49,498.56,1981
500 tests done.
